occupation_d,Productividad,Preparación para el trabajo y desplazamiento en el lugar de trabajo,Trabajo en el lugar de trabajo,Tiempo personal y familiar en el lugar de trabajo,Responsabilidades de cuidado y domésticas en el lugar de trabajo,Preparación para el trabajo y desplazamiento en el trabajo remoto,Trabajo en el trabajo remoto,Tiempo personal y familiar en el trabajo remoto,Responsabilidades de cuidado y domésticas en el trabajo remoto
Education Professionals,0,0.5,7.0,3.0,3.0,0.25,7.0,3.0,3.0
Specialist Managers,20,2.0,8.0,2.0,2.0,2.0,7.0,2.0,2.0
Clerical and Office Support ,-20,0.75,7.0,3.0,2.0,0.0,5.0,2.0,5.0
Education Professionals,-10,0.5,6.0,4.0,2.0,0.0,4.0,6.0,6.0
Food Preparation Assistants,50,1.0,6.0,3.0,2.0,1.0,7.0,5.0,11.0
"Chief Executives, General Managers and Legislators",30,1.0,6.0,0.0,0.0,0.5,7.0,1.0,0.0
"Chief Executives, General Managers and Legislators",-20,1.0,8.0,6.0,4.0,1.0,7.0,6.0,6.0
Health and Welfare Support ,30,2.0,9.0,5.0,5.0,4.0,12.0,2.0,2.0
"Chief Executives, General Managers and Legislators",50,1.0,2.0,5.0,3.0,0.5,4.0,5.0,1.0
General Clerical ,50,2.5,8.5,10.0,3.0,0.0,9.0,10.0,5.0
Other Clerical and Administrative ,50,0.5,7.0,7.0,2.0,0.0,7.0,7.0,2.0
Health Professionals,-20,0.45,7.0,1.0,1.0,0.15,6.0,2.0,1.0
Sales Representatives and Agents,-20,1.0,8.0,4.0,1.0,5.0,6.0,4.0,2.0
Education Professionals,30,0.2,8.0,0.5,0.0,0.0,8.0,0.0,1.0
Education Professionals,20,1.0,7.0,4.0,3.0,0.0,8.0,4.0,4.0
Other Clerical and Administrative ,0,3.5,1.5,5.0,3.0,1.5,3.5,4.0,1.0
Clerical and Office Support ,0,0.5,7.5,0.0,0.0,0.25,7.5,0.0,0.0
Health Professionals,0,1.0,1.0,2.0,2.0,3.0,3.0,8.0,10.0
Specialist Managers,20,1.0,6.0,0.5,0.5,0.0,5.0,2.0,0.5
Education Professionals,0,1.0,7.0,3.0,0.0,0.5,7.0,1.0,0.0
"Design, Engineering, Science and Transport Professionals",0,0.5,6.0,1.0,0.5,0.0,5.0,2.0,2.0
ICT Professionals,50,1.5,9.0,2.0,3.0,0.5,9.5,2.5,2.5
Numerical Clerks,20,1.0,9.0,4.0,2.0,0.0,9.0,5.0,2.0
Specialist Managers,-50,1.5,7.0,6.0,1.0,0.5,7.0,6.0,2.0
Specialist Managers,-30,1.0,8.0,0.5,0.5,0.0,5.5,2.5,2.0
"Design, Engineering, Science and Transport Professionals",0,2.0,8.0,5.0,0.0,0.0,8.0,10.0,0.0
"Business, Human Resource and Marketing Professionals",0,2.0,7.0,2.0,2.0,0.5,8.0,3.0,2.0
"Business, Human Resource and Marketing Professionals",50,2.0,6.0,1.0,1.0,0.0,8.0,2.0,1.0
Specialist Managers,20,2.0,8.0,8.0,6.0,0.0,10.0,10.0,4.0
General Clerical ,0,2.0,5.0,2.0,1.0,0.0,5.0,2.0,1.5
"Legal, Social and Welfare Professionals",0,2.0,10.0,1.5,0.5,0.0,10.0,3.0,0.5
"Chief Executives, General Managers and Legislators",30,1.0,5.0,3.0,2.0,0.2,5.0,5.0,2.0
Specialist Managers,10,1.0,8.0,4.0,2.0,0.0,7.0,6.0,3.0
"Legal, Social and Welfare Professionals",-20,2.0,7.0,3.5,2.5,0.5,7.0,3.5,4.0
Specialist Managers,0,3.0,8.0,1.0,0.0,0.0,8.0,1.0,1.0
Clerical and Office Support ,0,1.0,7.5,11.0,4.5,0.5,7.0,12.0,4.5
Health Professionals,20,1.5,8.0,2.0,2.0,0.5,8.5,3.0,2.0
Personal Assistants and Secretaries,20,1.0,7.0,2.0,2.0,0.0,7.0,3.0,2.0
Education Professionals,30,4.0,7.0,3.0,1.0,0.0,8.0,6.0,1.0
Electrotechnology and Telecommunications Trades ,-50,2.0,3.0,6.0,4.0,2.0,4.0,6.0,2.0
"Legal, Social and Welfare Professionals",30,2.0,8.0,6.0,8.0,0.5,8.0,6.0,9.5
"Hospitality, Retail and Service Managers",30,1.0,8.0,14.0,1.0,1.0,8.0,10.0,5.0
Personal Assistants and Secretaries,30,1.0,9.0,12.0,2.0,0.0,8.0,12.0,2.0
"Design, Engineering, Science and Transport Professionals",40,2.0,9.0,3.0,4.0,0.5,10.0,4.0,4.0
Construction Trades ,50,4.0,4.0,4.0,4.0,6.0,6.0,3.0,3.0
"Hospitality, Retail and Service Managers",10,1.0,6.0,3.0,3.0,0.0,5.0,4.0,4.0
"Chief Executives, General Managers and Legislators",20,0.5,6.0,5.0,2.0,0.5,5.0,7.0,3.0
Specialist Managers,20,1.5,7.0,0.5,0.0,0.25,7.0,0.25,0.0
Arts and Media Professionals,0,2.0,5.0,6.0,3.0,1.0,5.0,7.0,3.0
Other Clerical and Administrative ,0,2.0,7.5,6.0,1.0,0.0,7.5,8.0,1.5
"Hospitality, Retail and Service Managers",20,2.0,7.0,3.0,2.0,1.0,6.0,5.0,5.0
Specialist Managers,20,1.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0
"Chief Executives, General Managers and Legislators",0,1.0,8.0,12.0,3.0,0.0,8.0,13.0,3.0
"Chief Executives, General Managers and Legislators",40,1.0,8.0,3.0,1.0,1.0,7.0,3.0,1.0
"Business, Human Resource and Marketing Professionals",20,3.0,10.0,2.0,5.0,0.5,10.0,2.0,6.0
"Design, Engineering, Science and Transport Professionals",0,1.0,8.0,9.0,6.0,0.5,8.0,9.5,6.0
General Clerical ,30,2.0,7.0,3.0,3.0,1.0,8.0,4.0,4.0
Sales Assistants and Salespersons,-30,2.0,8.0,3.0,2.0,0.0,5.0,6.0,6.0
ICT Professionals,50,2.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0
"Chief Executives, General Managers and Legislators",0,2.0,10.0,2.0,10.0,2.0,12.0,8.0,2.0
Education Professionals,0,0.5,7.0,12.5,4.0,0.0,6.5,13.5,4.0
Specialist Managers,10,2.0,7.0,5.0,2.0,1.0,7.0,6.0,2.0
General Clerical ,0,0.25,5.5,0.0,0.0,0.0,5.0,3.0,5.0
Clerical and Office Support ,0,2.0,8.0,2.0,3.0,0.0,8.0,3.0,3.0
Personal Assistants and Secretaries,-50,2.0,2.0,2.0,2.0,0.5,3.0,5.0,5.0
"Business, Human Resource and Marketing Professionals",0,2.0,8.0,5.0,2.0,0.0,8.0,6.0,2.0
"Chief Executives, General Managers and Legislators",40,0.5,9.0,10.0,4.5,0.0,11.0,9.0,4.0
"Business, Human Resource and Marketing Professionals",-10,2.0,8.0,6.0,8.0,2.0,9.0,6.0,7.0
"Hospitality, Retail and Service Managers",10,2.0,7.0,1.0,0.0,0.0,8.0,2.0,1.0
"Chief Executives, General Managers and Legislators",-30,1.0,7.0,2.0,1.0,1.0,6.0,2.0,1.0
Education Professionals,-10,0.5,7.5,11.0,5.0,0.0,7.0,12.0,5.0
Sales Representatives and Agents,0,1.0,5.0,10.0,5.0,1.0,5.0,1.0,1.0
"Hospitality, Retail and Service Managers",0,3.0,8.0,4.0,4.0,2.0,8.0,6.0,4.0
"Business, Human Resource and Marketing Professionals",20,2.5,8.5,3.0,0.0,0.0,7.0,5.0,2.0
Specialist Managers,-20,1.0,9.0,5.0,1.0,0.5,6.0,7.0,1.0
"Chief Executives, General Managers and Legislators",30,0.5,8.0,2.0,0.0,0.0,10.0,2.0,0.0
"Design, Engineering, Science and Transport Professionals",30,1.0,7.0,9.0,2.0,0.0,10.0,6.0,2.0
Education Professionals,40,1.0,5.0,2.0,5.0,2.0,7.0,2.0,9.0
Specialist Managers,0,3.0,8.0,10.0,3.0,0.0,9.0,12.0,3.0
"Chief Executives, General Managers and Legislators",-20,2.0,7.0,5.0,2.0,0.0,7.0,7.0,3.0
Specialist Managers,50,3.0,7.0,2.0,0.5,0.5,8.0,2.0,1.5
Arts and Media Professionals,30,1.0,7.0,4.0,2.0,0.0,9.0,3.0,2.0
Office Managers and Program Administrators,0,0.5,7.0,2.0,4.0,0.0,7.5,4.0,2.0
Food Trades ,-50,1.0,8.0,10.0,5.0,0.0,8.0,5.0,5.0
